message, target,new_label
because he s not a fucking nerd,1,banter
he is so noob,2,banter
report gay jugg,2,toxic
bcs he is rtard,2,toxic
why,0,neutral
why did muthu just send me a butter chicken recipe on pintrest ,0,banter
who,0,neutral
good thing sk carrying us,0,neutral
china balong ingles friends,2,banter
what are the fucking odds,1,banter
ill report u and pa,0,banter
eziest game in my life,0,banter
you guys been called absolute morons before ,1,banter
his computer shitting itself,2,banter
two aghs,0,neutral
its a cum black,1,banter
wr leave the game    make your team stronger you rretard,2,banter
g next,0,neutral
beleive that you can kill more than a lowly lich,0,neutral
rep lich,0,neutral
can u ff this shit xd,1,banter
idiot earthshaker bot,2,banter
good silence,0,neutral
he say stfu,1,banter
sorrty,0,neutral
dont wanna play this trash,1,banter
fucking pathetic,1,banter
he comin back,0,neutral
who is feeding ,0,neutral
do i really hurt the ones i love   ,0,neutral
how is everyone doing    ,0,neutral
this is just a gaaame bruh,0,neutral
    high rank low brain,2,banter
why me with pa idiot,2,banter
fking cunt,2,banter
also our es,0,neutral
fk off spe,1,banter
ready,0,neutral
are femboys gay   ,2,banter
i m bleeding from a huge gash,0,neutral
rubick go your mmr,0,neutral
cant do shet wihout ur suport,1,banter
who are u idiots,2,banter
fucking bums,2,banter
you know  i didn t wanna go bkb tinker  but you re not giving me many options with your fucking laser  ,1,banter
what is this ban,0,neutral
u trash sup ind g ,2,banter
sorry  what morons ,1,banter
report legion not playing his role,0,banter
please blue,0,neutral
this idiots cant play,2,neutral
morons,1,banter
thanks for spitting facts whitemon   ,0,neutral
this teem,0,neutral
i only kill him twice lol,0,neutral
jugger playing world of warcraft killin creeps,0,banter
what a joke,0,neutral
whats up,0,neutral
we are so dumb,1,neutral
my oflainer,0,neutral
and still fuck u easly,1,banter
if my venges mom isnt a fat fucking whore,2,toxic
sniper poor have a bad net,0,neutral
hitting towers,0,neutral
fckng toxic carry,1,banter
bot and top too shit,2,banter
nob team,2,banter
that hook,0,neutral
only ld and meepo,0,neutral
idiot tecis,2,banter
to base,0,neutral
first win,0,neutral
the fuck,1,banter
pudge go home man,0,neutral
pos   pls thanks english team if possible,0,neutral
fxck you too,2,banter
sry this fucking clown talking all chat,2,banter
when u target me you re just inting,0,neutral
chase me sniper,0,neutral
gotta love playing with retards,2,toxic
go kill the dog,1,banter
hello cringe shit,1,banter
can you fuck off ,1,banter
my team are retarded,2,toxic
profet,0,neutral
hhilarious rubick,0,neutral
ty for wasting    min,0,banter
idiot carry,2,banter
fuck it,1,banter
finally lol,0,neutral
pls be nice,0,neutral
useless cores,2,neutral
what,0,neutral
od players,0,neutral
why do so many rtards play this game,1,toxic
grow some real skill and some real heros od,0,neutral
suck my dick la,2,banter
it helps,0,neutral
this is hearld you cringe fucker,2,banter
but dogshit carry,2,banter
learning mechanick,0,neutral
worth it,0,neutral
is this lp,0,neutral
he s dead,0,neutral
sry didnt mean to tip,0,neutral
to prove i can cancel with grenade,0,neutral
you are not playing good  our afghan friends playing bad,0,banter
why man  p,0,neutral
this team scare,0,neutral
what a lsoer,2,banter
ty  g ,0,neutral
rofl,0,neutral
it s ok we re both playing broken bullshit heroes,1,banter
nice of you to come back to the lost lane enigma,0,neutral
ez as ur mom was,2,toxic
but with meteor,0,neutral
we have noob drow and pudge,2,banter
son of whore rubick ,2,toxic
come on me ,0,banter
she did doggy style last night,2,banter
yes ur whole family all trash lsoer,2,toxic
retarded shits,2,toxic
 nto the game,0,neutral
fuck off,1,banter
fuck why pigg jugg,1,toxic
feeding,0,banter
is pl supp ,0,neutral
what the shit u spouting sir,1,banter
pa fed   kills though,0,neutral
i hope your cock werks,2,banter
for all the time,0,neutral
toxic shit,1,banter
fuck off,1,banter
i breastfed from your mom,2,toxic
my supports will let you,0,neutral
vacation in new jersey ,0,neutral
fair  we usually have that problem,0,neutral
ty  ur noobness im now ancient,2,banter
trash team,2,neutral
like it s annyoing when two assholes won t communicate,0,banter
dont rat man its so loserish,0,neutral
tard timber,1,toxic
thats so hot,0,neutral
from the lane,0,neutral
whats up,0,neutral
  cores btw,0,neutral
report ty,0,neutral
take it easy trash,2,banter
just rtarded support on my side,2,toxic
pudge no longer factor in this game,0,neutral
if youre kigs procreate with white race     times you wil still be yellow piece of shit chiense trash,2,toxic
not watch u cry and bitch,1,banter
what a retrard ,2,toxic
fucking sucks,1,banter
trolling,0,neutral
piss off pa,0,banter
ya hes owning,0,neutral
kill thm all guys,0,neutral
such a shit ember spirit as well,2,banter
why no money idiot  ,1,banter
you missed out on a goodnight kiss lmao what a loser,2,banter
and it wasnt even u moron marci,2,banter
take it easy pa   trash is trash,1,neutral
u guys kept on manning up and chasing doom,0,neutral
wasting time ,0,banter
for rough sex,2,banter
your descendants would feel my dick in your ass,2,toxic
i hope hitler comes back and decides he hates chinese people instead,2,toxic
i hope you think about this xd,0,neutral
lycan my ass xd,1,neutral
can we go next ,0,neutral
bitch ass,2,banter
clown,0,banter
whore,2,toxic
i can do shit at late game,1,banter
today im ur captain,0,neutral
rus tresh xd,0,banter
lol that enigma,0,neutral
math is not mathing,0,neutral
see that,0,neutral
my carry vs enemy carry,0,banter
can suck my dick,2,banter
omg what a fucker,1,banter
if he lets us end  ,0,neutral
you know it works when you re dead right ,0,neutral
trashcunt,2,toxic
as a whole,0,neutral
our sup throw it and we have no mid,0,neutral
shut up  stupid boy,2,neutral
really,0,neutral
you are the one whos crying,0,neutral
noob slark cant fight carry xd,2,banter
wha mean,0,neutral
pick sd and mirana without combo,0,neutral
end please i got the rtard team again ,2,toxic
fuck putin,1,banter
whati n the fuck,1,banter
slark your team oob,2,neutral
next,0,neutral
you guys are doing a good job at carrying me to a loss,0,banter
u are the shameless shit,2,banter
nah  you do suck though,2,banter
this is so ez for me,0,neutral
dont forget to report this faggot sb ,2,toxic
btch,1,banter
son of dog,2,toxic
try my asshole,2,banter
naga    go eat a bag of dicks,2,banter
lo west race of earth,2,toxic
cool game,0,neutral
piece of shit,2,toxic
sorry no russian,0,neutral
wrong neighbourhood,0,neutral
u cant even stun a player haha,2,banter
that just happened,0,neutral
really,0,neutral
stuid team,2,banter
clock,0,neutral
lose now ,0,neutral
again all legends enemy team and my team archons,0,neutral
i want more of that ass,0,banter
you guys are fkn shit man,1,banter
go kill that mf at top,1,banter
cringe shit,1,banter
does fly works on clones ,0,neutral
go fuck yourself mk,2,banter
hard to hf with pl pickers    ,0,neutral
stop aim me ,0,neutral
nice bug i cant see your stupid web,0,banter
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
doing the inside job,0,neutral
go end please,0,neutral
glad ur a good sport about it,0,neutral
  cary ,0,neutral
party with uzbek or ruin,0,neutral
actyually,0,neutral
all because zamuel didnt want to support  trash ,1,banter
can all of you shut the fuck up  you ruining my mojo,1,banter
tryhard bois,0,neutral
finally u called me,0,neutral
ogre alone is raping them,1,banter
does eljean know your a faggot ,2,toxic
idk man i have pos   talking shit to me all game when he picks alch pos   and feeds all game ,1,banter
party with purpubl  ,0,neutral
all that talk,0,neutral
why,0,neutral
i dont wanna play wtih some trash mopngolian and myasnmar players,0,toxic
son of whore,2,banter
idiot this pudge,2,banter
wait on youtube,0,neutral
they cant stand   sec,0,neutral
worst team ever,0,banter
w in the chat boys,0,neutral
trash offlane,2,banter
good trade clowns   ,2,banter
mad cause backseat driving while farming as a supp,0,neutral
aw shiet,1,banter
end this,0,neutral
it is indeed his phrase,0,neutral
my wit and your mom have that in common,0,banter
maybe a   for   soon,0,banter
i m the mc here ,0,neutral
off and this mid,0,neutral
who im dire or radiant   ,0,neutral
fuck u i am the carry,1,banter
win ,0,neutral
that s all i can say,0,neutral
cant speak for the others,0,neutral
fuck off nabsters,1,banter
oh crap ,0,neutral
no pl u cant win,0,neutral
i want to try but  i dont have persona,0,neutral
nobody to follow up ,0,neutral
comeback,0,neutral
getting this shit rng,1,neutral
wasting time ,0,neutral
the shit ,1,banter
tell me why so ez,0,neutral
play with brain bro,0,banter
wow insane u can ultfor a brown boots underleveled slark,0,banter
report mother fucker useles axe,2,banter
gj team commend for all,0,neutral
might wanna get that examined,0,neutral
why u not in my teamxd,0,neutral
hahah been there,0,neutral
and report morf,0,neutral
bb was waste why you throwing,0,neutral
your mom still available tonight ,2,banter
nice csing dog,2,neutral
i was so unsure to do next,0,neutral
thanks,0,neutral
dont ply io ,0,neutral
sorry  i had a father in my life,0,toxic
thank u,0,neutral
put some pants on antimage,0,neutral
so boring pudge,0,neutral
stop playing u retards,2,banter
tilted ass,1,banter
pussy b tch,2,banter
everyone,0,neutral
gg close game,0,neutral
report od ty,0,banter
pussy bitch ,2,banter
neither are you,0,neutral
party with raving,0,neutral
to all chat,0,neutral
impactless,0,banter
are u guys trash like the last team we faced ,1,banter
why you didnt pick ur friend wtf,1,neutral
boring,0,neutral
this am is fucking the hottest trash,2,banter
wait bro ill fuck u in dpc someday not just in pub,1,banter
primal and od are foating  k collectivley,0,neutral
and you suck ass son,2,banter
he can use it before   ,0,neutral
enjoy this treads dog pos  with you next,2,neutral
then dying,0,neutral
pleas,0,neutral
we fed on purpose,0,neutral
wtf is that radius,1,banter
or your noob ,1,neutral
of yoru fucking  k team,2,banter
come bitches,2,banter
and they still fail like dog,2,banter
tell that to zai,0,neutral
throne,0,neutral
every day,0,neutral
sound slike he has throat cancer,0,toxic
in my cock,1,banter
no awareness frog,0,banter
hello there,0,neutral
i guess you gotta voice line when thats all you got going for ya,0,banter
because thats what i queued for,0,neutral
hey clown look top,2,banter
cope and seethe,0,neutral
ty sf,0,neutral
i ll have to check w  your mom first,2,banter
was gonna report am,0,neutral
and you lose to my mid,0,neutral
this is funny this hero got   fkin intellengence,1,banter
mrbeast giveaway,0,neutral
break items,0,neutral
sniper is a pussy,2,banter
he prob gay,2,banter
reason,0,neutral
stupid cnt i got two for your one,2,toxic
a fuckcing fly on riki this game ,1,banter
fuckin pl pickers,1,banter
maybe its his teammates,0,neutral
why,0,neutral
im a terrorist,0,toxic
is idiot pick veng,1,banter
i thougt we were friends ,0,neutral
the last pick uyndying,0,neutral
sucks that lion raged,0,neutral
we found him on the street,0,neutral
these games are so fucking bad,1,banter
i dont understand whats happening,0,neutral
need more practice,0,neutral
tower ,0,neutral
why,0,neutral
you are so shit lmao,1,banter
in real life,0,neutral
good top,0,neutral
party with eazy heart or ruin,0,neutral
are u shaikng heaed now sven,0,neutral
and u turned all dark wtf,1,banter
i ll steaaaal everything from youuu,0,banter
only cores,0,neutral
its great russian language moron,2,banter
he prob gonna play better than this qop,0,neutral
with a big nose,2,toxic
got fucked by  k scrub,2,banter
this bich hit me with mail,0,banter
ibs is not a handicap,0,neutral
cmre,0,neutral
clock,0,neutral
rofl,0,neutral
they want luna to abandon,0,neutral
report mk pls,0,banter
beast,0,neutral
we want to play fair,0,neutral
hard to play line with rtard like you,2,toxic
we have a retarded qop,2,toxic
piss is store in the girl balls,1,banter
that bad ,0,neutral
farm creeps,0,neutral
this idiot cant fucking use  spells together,2,banter
our noob timber ,2,banter
why the fuck,1,banter
the loudest are always the foolish,0,banter
that s what friends are for,0,neutral
party with rage only,0,neutral
retarded peruvian drow,2,toxic
o home he imortal,0,neutral
oh crap ,0,neutral
when lc mom die she say ah,2,toxic
can out   ,0,neutral
wp team,0,neutral
timber is casting his spells  his eyes are slightly more fucked than his cousins at family reunion  so he keeps thinking he is playing pudge,2,toxic
every match of dota,0,neutral
ty idiot,1,neutral
she cant do shit,1,banter
thats crazy bro,0,neutral
pl is shit,2,banter
my team is just pro,0,neutral
the attack didnt hit,0,neutral
undead should be segregated from the rest of us  ,0,banter
learned to make it from your nigger mom,2,toxic
this game is a waste of time this mk sucks,2,banter
ok ok settle down and ill get off your mum,2,banter
and supor are trash,2,neutral
farty diaper,0,neutral
throne it,0,neutral
wtf u talkin about ,1,banter
i have an am who got shit on line and now he s crying hahaha what a good team  pure shit in this media  how could i get so low ,1,banter
sry for the waste of time    what a sht game ,1,neutral
fuck off,1,banter
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
fuck u whore mother,2,toxic
fucking trash,2,banter
why u dont listen ,0,neutral
and report the whores on puck and axe,2,toxic
fucking retarded cunt,2,toxic
thats fucked up,1,banter
why bro ,0,neutral
not my fault u so fucking garbo bro ,1,banter
i play safe boys,0,neutral
  fkin losers just can t seem to end,2,banter
noob core ff underlord with vanguard xaxa,2,banter
first was on rune,0,neutral
bobo edition,1,neutral
clowns,0,banter
wtf i can see ur tp,1,neutral
go fuck urself mate,2,banter
stupid bot s,2,banter
give us a min if possible but its jus a game   holy shit nuggets,1,banter
for the first time,0,neutral
win pls ,0,neutral
i eat pussy  does that count ,1,banter
pugna  how copme you killed yoursefl,0,neutral
imgine thinking this pango must tlak shit,1,neutral
trash ,1,banter
that doesn count,0,neutral
and still trashtalk here,0,neutral
throne,0,neutral
he coming,0,neutral
  times my buttons were pressed,0,neutral
wtf is that jump,1,banter
chrono the sky guys,0,neutral
this is what happens when ur mid is shit,1,banter
and i will still be above you ,0,neutral
stupid kotl dont know how to place ward  buying for next game,2,banter
u suck line for me all game,2,banter
is retard palyer xd,1,toxic
end ur mother noob,2,toxic
then he cries,0,neutral
bs report thx,0,neutral
i d actually put one up your ass you insufferable twink,2,toxic
i fuck both of ur gay fyucking faggot dads,2,toxic
son of whore,2,toxic
see the difference in my and jug lvl n farms,0,neutral
what  scared ,0,neutral
cumback ,1,neutral
u should try maybe meepo,0,banter
stop using that shit,1,banter
ill just slit your throat,2,toxic
toxcic,0,banter
stupid ass bitch,2,toxic
clowns,0,banter
slow in mund i mean,0,neutral
you are lower race,2,toxic
please let us win,0,neutral
idiot how,1,banter
out sniper sight,0,neutral
 idonthave,0,neutral
dfestory my items when spwaning,0,neutral
g throne we afk,0,neutral
wtf ur mom came back my ,2,banter
what a battle,0,neutral
yeah your history is fucking bad xdd,1,banter
congrats you can press   button barely after   people get your ass there after shitting the bed,2,banter
worth,0,neutral
p ece of shit,1,banter
he got carried,0,neutral
world full of gays,2,banter
he is retarded,2,toxic
fk this,1,banter
finish teh gfucking game,1,banter
herec,0,neutral
how u know that noob ,1,banter
can you see that im doom,0,neutral
son of whore,2,toxic
thanks,0,neutral
riki got a fuciking fly ,1,banter
report sf ty,0,banter
no buy still come out farm,0,neutral
our carry is too gay,2,toxic
dont talk son of whore,2,toxic
cought me on a fast typoig ,0,neutral
play like fk dog scare the sh i,2,banter
what losers,2,banter
really   ,0,neutral
big mouth,0,banter
its a game,0,neutral
fat cock,1,banter
gg out pls,0,neutral
i wont play ,0,neutral
what a transgression,0,neutral
walking around lc,0,neutral
u call me a faggot,1,toxic
a bit rude innit,0,neutral
thanks m ,0,neutral
wr who to blame now ,0,neutral
how low this fucking game is man even if we afk,1,banter
nyxs mom is sucking me off rn,2,toxic
you think you can win ,0,neutral
he break items,0,neutral
he literally stand still,0,neutral
team is afk,0,neutral
two aghs,0,neutral
my team lost lanes to this shit,1,banter
thanks to ur teammate,0,neutral
i got a brain dead player in here,2,banter
if u have it,0,neutral
the bashhh,0,neutral
ass fucking sniper,2,banter
fucking trahs,2,banter
what a fuckjing,1,banter
they didnt pick a single,0,neutral
fuck you talk too much,1,banter
coming,0,neutral
riki i fk ur sister,2,toxic
cant win game,0,banter
and u just mad for losing mid xd,0,neutral
seal totem not jump in this barrier,0,neutral
low brain,2,banter
it should say safe to leave,0,neutral
fucking techies,1,banter
i dont have sex,1,banter
acc buying son of whore,2,toxic
fk u play ur rank cunt,2,banter
with me fucking ofc,1,banter
i play with   dog,2,neutral
  sitting in base,0,neutral
more than there are minutes this game,0,neutral
they literally,0,neutral
boring,0,neutral
gg fuck this unedrlord,2,banter
hey noob anthony,2,banter
stop walking to fountain,0,neutral
fuck this dk,2,banter
rat fagot team,2,toxic
match,0,neutral
i have     winrate tq bro,0,neutral
why you so silence         ,0,neutral
playing wr vs retards,2,toxic
what was that about the push mk ,0,neutral
its ok pudge,0,neutral
no more wr,0,neutral
were talking so much shit,1,banter
you are so retarded and bad,2,banter
im so fucking trash,1,banter
pls own him,0,banter
